product_id,product_name,category,current_price,current_stock,total_sales_90d,total_revenue_90d,total_purchased_90d,sales_last_30d,sales_previous_30d,days_since_last_promo,last_promo_discount,promo_count_6months,rotation,sell_through_rate,stock_coverage_days,inventory_turnover,sales_trend,profit_margin,should_promote,applied_discount,actual_sales_lift,revenue_impact
1,Jackets Item 1,Jackets,386.2,77,6,2317.2,35,1,1,102,0.1,3,0.171,0.072,1155.0,0.31,0.0,0.562,True,0.0,0.0,0.0
2,T-Shirts Item 2,T-Shirts,64.71,79,3,194.13,16,0,0,36,0.002,0,0.188,0.037,2370.0,0.15,0.0,0.437,True,0.28557975442608174,0.697,45.11
3,Shoes Item 3,Shoes,90.84,28,10,908.39,22,4,3,288,0.0,3,0.455,0.263,252.0,1.43,0.333,0.633,True,0.24541666010159666,0.518,156.97
4,T-Shirts Item 4,T-Shirts,30.37,38,10,303.72,26,4,2,95,0.078,3,0.385,0.208,342.0,1.05,1.0,0.577,True,0.23831766651472755,0.549,55.57
5,T-Shirts Item 5,T-Shirts,67.63,67,6,405.79,28,1,2,266,0.0,0,0.214,0.082,1005.0,0.36,-0.5,0.638,True,0.28989280440549525,0.699,94.56
6,Accessories Item 6,Accessories,64.87,44,0,0.0,43,0,0,150,0.002,2,0.0,0.0,999.0,0.0,0.0,0.41,True,0.3,0.8,0.0
7,T-Shirts Item 7,T-Shirts,31.37,53,3,94.12,22,0,0,76,0.098,2,0.136,0.054,1590.0,0.23,0.0,0.527,True,0.0,0.0,0.0
8,Jeans Item 8,Jeans,102.5,9,19,1947.49,32,6,8,297,0.0,0,0.594,0.679,42.6,8.44,-0.25,0.563,True,0.0,0.0,0.0
9,Jackets Item 9,Jackets,150.21,9,51,7660.69,81,14,16,185,0.0,0,0.63,0.85,15.9,22.67,-0.125,0.419,False,0.0,0.0,0.0
10,Jeans Item 10,Jeans,122.53,47,3,367.59,20,0,0,345,0.0,3,0.15,0.06,1410.0,0.26,0.0,0.592,True,0.2927201389988746,0.8,98.02
11,Dresses Item 11,Dresses,126.26,12,17,2146.46,32,3,6,151,0.145,0,0.531,0.586,63.5,5.67,-0.5,0.386,True,0.16771638815650075,0.38,271.69
12,Dresses Item 12,Dresses,148.65,16,71,10554.3,87,19,24,127,0.044,3,0.816,0.816,20.3,17.75,-0.208,0.361,True,0.15010716092915447,0.229,806.07
13,Shoes Item 13,Shoes,77.6,39,8,620.81,20,1,2,174,0.166,2,0.4,0.17,438.8,0.82,-0.5,0.552,True,0.23950550175969598,0.535,110.65
14,Jackets Item 14,Jackets,395.36,18,10,3953.58,35,2,2,363,0.0,2,0.286,0.357,162.0,2.22,0.0,0.527,True,0.21066351315711423,0.575,757.5
15,Jeans Item 15,Jeans,132.86,18,10,1328.55,26,4,3,352,0.0,3,0.385,0.357,162.0,2.22,0.333,0.391,True,0.18453894084962358,0.447,197.8
16,T-Shirts Item 16,T-Shirts,79.02,25,6,474.12,21,2,2,174,0.19,0,0.286,0.194,375.0,0.96,0.0,0.434,True,0.29386644568953224,0.644,101.74
17,Jackets Item 17,Jackets,368.38,30,3,1105.15,38,1,1,118,0.182,2,0.079,0.091,900.0,0.4,0.0,0.462,True,0.3,0.8,294.71
18,T-Shirts Item 18,T-Shirts,63.05,13,16,1008.87,55,4,4,149,0.216,3,0.291,0.552,73.1,4.92,0.0,0.52,True,0.0,0.0,0.0
19,Jeans Item 19,Jeans,117.27,15,19,2228.13,49,6,8,297,0.0,2,0.388,0.559,71.1,5.07,-0.25,0.588,True,0.15307615538505437,0.282,209.5
20,Dresses Item 20,Dresses,113.19,54,3,339.57,33,1,0,186,0.0,3,0.091,0.053,1620.0,0.22,0.0,0.491,True,0.0,0.0,0.0
21,Shoes Item 21,Shoes,155.14,21,43,6670.87,53,15,15,202,0.0,0,0.811,0.672,44.0,8.19,0.0,0.373,False,0.0,0.0,0.0
22,Accessories Item 22,Accessories,47.73,44,1,47.73,17,0,0,337,0.0,3,0.059,0.022,3960.0,0.09,0.0,0.371,True,0.0,0.0,0.0
23,Shoes Item 23,Shoes,152.49,26,7,1067.42,21,3,1,260,0.0,3,0.333,0.212,334.3,1.08,2.0,0.516,True,0.0,0.0,0.0
24,T-Shirts Item 24,T-Shirts,69.56,77,3,208.67,27,0,1,34,0.195,3,0.111,0.037,2310.0,0.16,-1.0,0.469,True,0.0,0.0,0.0
25,Jeans Item 25,Jeans,90.42,28,11,994.62,21,3,3,139,0.252,1,0.524,0.282,229.1,1.57,0.0,0.359,True,0.0,0.0,0.0
26,Shoes Item 26,Shoes,139.75,17,16,2236.02,56,6,4,19,0.137,1,0.286,0.485,95.6,3.76,0.5,0.366,True,0.23162540486440425,0.578,430.62
27,Accessories Item 27,Accessories,97.41,75,0,0.0,33,0,0,360,0.0,0,0.0,0.0,999.0,0.0,0.0,0.405,True,0.0,0.0,0.0
28,Dresses Item 28,Dresses,197.04,20,19,3743.85,30,4,9,286,0.0,0,0.633,0.487,94.7,3.8,-0.556,0.571,True,0.2044688298493741,0.532,664.11
29,Jeans Item 29,Jeans,82.3,37,29,2386.58,56,6,6,252,0.0,1,0.518,0.439,114.8,3.14,0.0,0.561,True,0.18391336642604006,0.206,163.69
30,Dresses Item 30,Dresses,158.99,14,13,2066.93,29,6,3,264,0.0,2,0.448,0.481,96.9,3.71,1.0,0.501,True,0.2063477452647578,0.444,305.92
31,Jackets Item 31,Jackets,292.44,47,0,0.0,16,0,0,166,0.203,2,0.0,0.0,999.0,0.0,0.0,0.543,True,0.3,0.8,0.0
32,Dresses Item 32,Dresses,190.75,21,26,4959.56,48,5,5,256,0.0,2,0.542,0.553,72.7,4.95,0.0,0.451,True,0.1454158648386226,0.378,625.59
33,T-Shirts Item 33,T-Shirts,26.28,77,3,78.84,21,1,1,231,0.0,0,0.143,0.037,2310.0,0.16,0.0,0.64,True,0.29693883769232476,0.8,21.02
34,Jeans Item 34,Jeans,97.14,21,21,2039.85,58,6,8,231,0.0,2,0.362,0.5,90.0,4.0,-0.25,0.381,True,0.1502100948979143,0.385,261.66
35,Dresses Item 35,Dresses,134.41,60,4,537.63,26,1,1,298,0.0,1,0.154,0.062,1350.0,0.27,0.0,0.553,True,0.2997210263108722,0.8,143.37
36,Accessories Item 36,Accessories,78.95,77,6,473.71,28,1,2,249,0.0,2,0.214,0.072,1155.0,0.31,-0.5,0.385,True,0.0,0.0,0.0
37,T-Shirts Item 37,T-Shirts,71.03,32,5,355.17,21,1,1,297,0.0,1,0.238,0.135,576.0,0.62,0.0,0.394,True,0.26932912289698113,0.754,89.21
38,Accessories Item 38,Accessories,46.5,64,0,0.0,21,0,0,289,0.0,0,0.0,0.0,999.0,0.0,0.0,0.463,True,0.28994896617721155,0.718,0.0
39,Accessories Item 39,Accessories,15.97,17,22,351.23,39,5,8,15,0.204,3,0.564,0.564,69.5,5.18,-0.375,0.639,True,0.14142848345127443,0.189,22.14
40,Dresses Item 40,Dresses,118.01,66,12,1416.14,46,5,4,217,0.0,3,0.261,0.154,495.0,0.73,0.25,0.372,True,0.29877210142476396,0.8,377.64
41,Shoes Item 41,Shoes,137.73,30,0,0.0,17,0,0,170,0.101,1,0.0,0.0,999.0,0.0,0.0,0.406,True,0.29413408912104216,0.8,0.0
42,T-Shirts Item 42,T-Shirts,39.63,18,32,1268.05,55,9,14,234,0.0,3,0.582,0.64,50.6,7.11,-0.357,0.399,True,0.16290148971692675,0.26,109.81
43,Shoes Item 43,Shoes,269.19,22,37,9960.2,62,18,9,355,0.0,1,0.597,0.627,53.5,6.73,1.0,0.464,False,0.0,0.0,0.0
44,Shoes Item 44,Shoes,260.71,18,16,4171.32,52,5,4,325,0.0,1,0.308,0.471,101.2,3.56,0.25,0.558,True,0.2099964299787989,0.596,828.1
