product_name,code_article,current_price,current_stock,stock_coverage_days,rotation,suggested_discount,predicted_sales_lift,confidence,expected_revenue_increase,reasoning,start_date,end_date,duration_days,category
Article Mode Marine T.U,ART000261,86.08000183105469,211,2110.0,0.03211009174311927,0.3,2.579,0.951,518.0007576853435,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory, Declining sales trend",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rose T.U,ART000262,117.72000122070312,60,600.0,0.0,0.0,0.0,0.671,0.0,"Product performance is satisfactory, no promotion needed",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rouge T.U,ART000263,32.7599983215332,73,730.0,0.013513513513513514,0.299,2.192,0.873,23.936638773600258,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Gris T.U,ART000264,113.80999755859375,165,1650.0,0.03508771929824561,0.0,0.0,0.64,0.0,"Product performance is satisfactory, no promotion needed",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Beige T.U,ART000265,43.689998626708984,92,920.0,0.05154639175257732,0.0,0.0,0.716,0.0,"Product performance is satisfactory, no promotion needed",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Beige T.U,ART000266,111.83000183105469,260,2600.0,0.022556390977443608,0.3,2.885,0.888,645.2591105651856,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Beige T.U,ART000267,34.779998779296875,271,2710.0,0.018115942028985508,0.0,0.0,0.797,0.0,"Product performance is satisfactory, no promotion needed",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rose T.U,ART000268,65.22000122070312,126,1260.0,0.023255813953488372,0.3,2.614,0.584,170.48508319091795,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory, Declining sales trend",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Blanc T.U,ART000269,88.16000366210938,207,2070.0,0.041666666666666664,0.3,2.612,0.91,690.8217886962891,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rouge T.U,ART000270,86.9800033569336,310,3100.0,0.015873015873015872,0.0,0.0,0.71,0.0,"Product performance is satisfactory, no promotion needed",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Marine T.U,ART000271,48.060001373291016,49,490.0,0.02,0.3,2.293,0.88,36.7338610496521,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory, Declining sales trend",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rouge T.U,ART000272,68.08000183105469,349,3141.0,0.027855153203342618,0.3,2.553,0.998,579.3608155822754,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Noir T.U,ART000273,50.349998474121094,54,540.0,0.0,0.3,2.503,0.608,0.0,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Vert T.U,ART000274,48.939998626708984,198,1980.0,0.014925373134328358,0.3,2.557,0.709,125.13957648849487,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory, Declining sales trend",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Beige T.U,ART000275,99.58999633789062,57,570.0,0.03389830508474576,0.3,2.769,0.901,183.8431332397461,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory, Declining sales trend",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Beige T.U,ART000276,76.9800033569336,566,2996.470588235294,0.029159519725557463,0.3,2.628,0.991,1146.3862099914552,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Blanc T.U,ART000277,23.760000228881836,93,930.0,0.021052631578947368,0.3,2.263,0.871,35.845920345306396,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Blanc T.U,ART000278,96.05999755859375,22,220.0,0.0,0.28,2.431,0.925,0.0,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rouge T.U,ART000279,95.4800033569336,144,1440.0,0.03355704697986577,0.3,2.702,0.586,429.97828178405763,"Promotion recommended due to: Low product rotation, Poor sell-through rate, Excess inventory, Declining sales trend",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
Article Mode Rose T.U,ART000280,71.66999816894531,129,1290.0,0.0,0.0,0.0,0.643,0.0,"Product performance is satisfactory, no promotion needed",16-07-2025,2025-08-13,28,ACCESSOIRES - FEMME
